onset	duration	trial_type	melody_number	melody_part	key	sound	action
0.0	14.081	CUE_START	n/a	n/a	n/a	n/a	n/a
14.082	7.76	FIXCROSS	n/a	n/a	n/a	n/a	n/a
21.841	6.324	CUE_LISTEN	M4	1	n/a	n/a	n/a
28.165	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
35.924	6.317	CUE_PLAYBACK_BOTH_HANDS	M4	1	n/a	n/a	n/a
36.314	n/a	RESPONSE	M4	1	07	G3	press
36.317	n/a	RESPONSE	M4	1	23	B4	press
36.32	n/a	RESPONSE	M4	1	00	C3	press
36.998	n/a	RESPONSE	M4	1	19	G4	press
37.381	n/a	RESPONSE	M4	1	23	B4	release
37.521	n/a	RESPONSE	M4	1	00	C3	release
37.523	n/a	RESPONSE	M4	1	19	G4	release
37.603	n/a	RESPONSE	M4	1	07	G3	release
37.704	n/a	RESPONSE	M4	1	07	G3	press
37.707	n/a	RESPONSE	M4	1	00	C3	press
37.727	n/a	RESPONSE	M4	1	19	G4	press
38.5	n/a	RESPONSE	M4	1	17	F4	press
38.652	n/a	RESPONSE	M4	1	19	G4	release
39.173	n/a	RESPONSE	M4	1	16	E4	press
39.273	n/a	RESPONSE	M4	1	17	F4	release
39.843	n/a	RESPONSE	M4	1	14	D4	press
40.014	n/a	RESPONSE	M4	1	16	E4	release
40.346	n/a	RESPONSE	M4	1	00	C3	release
40.437	n/a	RESPONSE	M4	1	14	D4	release
40.528	n/a	RESPONSE	M4	1	00	C3	press
40.561	n/a	RESPONSE	M4	1	12	C4	press
41.364	n/a	RESPONSE	M4	1	12	C4	release
41.456	n/a	RESPONSE	M4	1	00	C3	release
41.617	n/a	RESPONSE	M4	1	07	G3	release
42.24	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
49.999	6.317	CUE_LISTEN	M4	2	n/a	n/a	n/a
56.315	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
64.074	6.325	CUE_PLAYBACK_BOTH_HANDS	M4	2	n/a	n/a	n/a
64.391	n/a	RESPONSE	M4	2	07	G3	press
64.422	n/a	RESPONSE	M4	2	00	C3	press
64.433	n/a	RESPONSE	M4	2	12	C4	press
64.954	n/a	RESPONSE	M4	2	14	D4	press
65.047	n/a	RESPONSE	M4	2	12	C4	release
65.48	n/a	RESPONSE	M4	2	16	E4	press
65.638	n/a	RESPONSE	M4	2	14	D4	release
65.971	n/a	RESPONSE	M4	2	17	F4	press
66.032	n/a	RESPONSE	M4	2	16	E4	release
66.552	n/a	RESPONSE	M4	2	17	F4	release
66.593	n/a	RESPONSE	M4	2	14	D4	press
66.944	n/a	RESPONSE	M4	2	00	C3	release
66.986	n/a	RESPONSE	M4	2	14	D4	release
67.047	n/a	RESPONSE	M4	2	07	G3	release
67.13	n/a	RESPONSE	M4	2	00	C3	press
67.132	n/a	RESPONSE	M4	2	07	G3	press
67.163	n/a	RESPONSE	M4	2	14	D4	press
