onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.011	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.011	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.027	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-SEMA	n/a	n/a
13.312	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
15.061	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
15.116	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
16.077	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-TYPU	n/a	n/a
20.286	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
23.111	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.127	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-STEK	n/a	n/a
28.813	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
31.161	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.177	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-LIŁCU	n/a	n/a
37.534	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
39.211	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.227	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-TOPI	n/a	n/a
45.147	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
49.269	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.269	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.286	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KŁMLK	n/a	n/a
61.056	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.319	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.336	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-PŁKL	n/a	n/a
68.888	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
70.369	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.386	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-#M#ŁS	n/a	n/a
76.547	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.418	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
