onset	duration	trial_type	braille_stimulus	targets	response_count
2.017	2.008	CUE_REST	n/a	n/a	n/a
7.017	1.008	FIXCROSS	n/a	n/a	n/a
13.067	1.008	FIXCROSS	n/a	n/a	n/a
21.125	2.008	CUE_6_DOT	n/a	n/a	n/a
26.125	1.008	FIXCROSS	n/a	n/a	n/a
27.141	5.009	6_DOT_DETECTION	K#OBU	1	n/a
29.712	n/a	RESPONSE	n/a	n/a	1/1
32.175	1.008	FIXCROSS	n/a	n/a	n/a
33.192	5.008	6_DOT_DETECTION	##BYM	2	n/a
34.832	n/a	RESPONSE	n/a	n/a	1/2
38.225	1.008	FIXCROSS	n/a	n/a	n/a
38.696	n/a	RESPONSE	n/a	n/a	2/2
39.242	5.008	6_DOT_DETECTION	#MOI#	2	n/a
40.336	n/a	RESPONSE	n/a	n/a	1/2
43.056	n/a	RESPONSE	n/a	n/a	2/2
44.275	1.008	FIXCROSS	n/a	n/a	n/a
45.292	5.008	6_DOT_DETECTION	PBC#O	1	n/a
48.032	n/a	RESPONSE	n/a	n/a	1/1
50.325	1.008	FIXCROSS	n/a	n/a	n/a
51.342	5.008	6_DOT_DETECTION	#CSDŁ	1	n/a
52.592	n/a	RESPONSE	n/a	n/a	1/1
56.375	1.008	FIXCROSS	n/a	n/a	n/a
57.391	5.008	6_DOT_DETECTION	TMPLP	0	n/a
62.425	1.008	FIXCROSS	n/a	n/a	n/a
63.441	5.009	6_DOT_DETECTION	PIK#S	1	n/a
66.632	n/a	RESPONSE	n/a	n/a	1/1
68.475	1.008	FIXCROSS	n/a	n/a	n/a
69.492	5.008	6_DOT_DETECTION	##PUK	2	n/a
70.792	n/a	RESPONSE	n/a	n/a	1/2
76.033	2.008	CUE_REST	n/a	n/a	n/a
82.534	1.008	FIXCROSS	n/a	n/a	n/a
88.584	1.008	FIXCROSS	n/a	n/a	n/a
95.642	2.008	CUE_6_DOT	n/a	n/a	n/a
100.642	1.008	FIXCROSS	n/a	n/a	n/a
101.658	5.008	6_DOT_DETECTION	#PYL#	2	n/a
103.016	n/a	RESPONSE	n/a	n/a	1/2
106.692	1.008	FIXCROSS	n/a	n/a	n/a
106.992	n/a	RESPONSE	n/a	n/a	2/2
107.708	5.008	6_DOT_DETECTION	#LOB#	2	n/a
108.632	n/a	RESPONSE	n/a	n/a	1/2
111.176	n/a	RESPONSE	n/a	n/a	2/2
112.742	1.008	FIXCROSS	n/a	n/a	n/a
113.758	5.009	6_DOT_DETECTION	KKBDB	0	n/a
118.792	1.008	FIXCROSS	n/a	n/a	n/a
119.808	5.009	6_DOT_DETECTION	#MOC#	2	n/a
120.712	n/a	RESPONSE	n/a	n/a	1/2
123.192	n/a	RESPONSE	n/a	n/a	2/2
124.842	1.008	FIXCROSS	n/a	n/a	n/a
125.858	5.009	6_DOT_DETECTION	OYOEL	0	n/a
130.892	1.008	FIXCROSS	n/a	n/a	n/a
131.909	5.008	6_DOT_DETECTION	UICCI	0	n/a
136.942	1.008	FIXCROSS	n/a	n/a	n/a
