onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.016	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.016	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.032	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-SEMA	n/a	n/a
15.066	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
15.952	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
16.082	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-TYPU	n/a	n/a
21.578	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
23.116	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.132	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-STEK	n/a	n/a
27.447	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
31.166	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.182	5.008	LEXICAL_DECISION	PSEUDOWORD	SES-TP-1_TASK-LDTTACTBRA_WORD-LIŁCU	n/a	n/a
36.397	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
39.216	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.232	5.008	LEXICAL_DECISION	WORD	SES-TP-1_TASK-LDTTACTBRA_WORD-TOPI	n/a	n/a
43.801	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
49.274	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.274	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.291	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KŁMLK	n/a	n/a
58.292	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.324	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.341	5.008	6_DOT_DETECTION	NO_6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-PŁKL	n/a	n/a
65.868	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
70.374	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.391	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-#M#ŁS	n/a	n/a
74.411	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.424	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.441	5.008	6_DOT_DETECTION	6-DOT	SES-TP-1_TASK-LDTTACTBRA_WORD-KB##	n/a	n/a
83.403	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
86.474	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
