onset	duration	trial_type	braille_stimulus	targets	response_count
2.011	2.008	CUE_REST	n/a	n/a	n/a
7.011	1.008	FIXCROSS	n/a	n/a	n/a
13.061	1.008	FIXCROSS	n/a	n/a	n/a
21.119	2.008	CUE_6_DOT	n/a	n/a	n/a
26.119	1.008	FIXCROSS	n/a	n/a	n/a
27.136	5.008	6_DOT_DETECTION	POD##	2	n/a
31.416	n/a	RESPONSE	n/a	n/a	1/2
32.169	1.008	FIXCROSS	n/a	n/a	n/a
33.186	5.008	6_DOT_DETECTION	SSTMT	0	n/a
38.22	1.008	FIXCROSS	n/a	n/a	n/a
39.236	5.008	6_DOT_DETECTION	##KOT	2	n/a
41.576	n/a	RESPONSE	n/a	n/a	1/2
44.27	1.008	FIXCROSS	n/a	n/a	n/a
45.286	5.008	6_DOT_DETECTION	OCPPC	0	n/a
49.296	n/a	RESPONSE	n/a	n/a	1/0
50.32	1.008	FIXCROSS	n/a	n/a	n/a
51.336	5.008	6_DOT_DETECTION	AKT##	2	n/a
55.776	n/a	RESPONSE	n/a	n/a	1/2
56.37	1.008	FIXCROSS	n/a	n/a	n/a
56.776	n/a	RESPONSE	n/a	n/a	2/2
57.386	5.008	6_DOT_DETECTION	ODŁSE	0	n/a
62.42	1.008	FIXCROSS	n/a	n/a	n/a
63.436	5.008	6_DOT_DETECTION	#LMCI	1	n/a
65.456	n/a	RESPONSE	n/a	n/a	1/1
68.47	1.008	FIXCROSS	n/a	n/a	n/a
69.486	5.008	6_DOT_DETECTION	##MYK	2	n/a
71.256	n/a	RESPONSE	n/a	n/a	1/2
72.84	n/a	RESPONSE	n/a	n/a	2/2
76.028	2.008	CUE_REST	n/a	n/a	n/a
82.528	1.008	FIXCROSS	n/a	n/a	n/a
88.578	1.008	FIXCROSS	n/a	n/a	n/a
95.636	2.008	CUE_6_DOT	n/a	n/a	n/a
100.636	1.008	FIXCROSS	n/a	n/a	n/a
101.652	5.009	6_DOT_DETECTION	KUŁ##	2	n/a
104.8	n/a	RESPONSE	n/a	n/a	1/2
106.176	n/a	RESPONSE	n/a	n/a	2/2
106.686	1.008	FIXCROSS	n/a	n/a	n/a
107.703	5.008	6_DOT_DETECTION	OALDO	0	n/a
112.736	1.008	FIXCROSS	n/a	n/a	n/a
113.753	5.008	6_DOT_DETECTION	#TLI#	2	n/a
115.96	n/a	RESPONSE	n/a	n/a	1/2
118.786	1.008	FIXCROSS	n/a	n/a	n/a
118.88	n/a	RESPONSE	n/a	n/a	2/2
119.803	5.008	6_DOT_DETECTION	KAAE#	1	n/a
123.776	n/a	RESPONSE	n/a	n/a	1/1
124.836	1.008	FIXCROSS	n/a	n/a	n/a
125.853	5.008	6_DOT_DETECTION	#DLA#	2	n/a
127.416	n/a	RESPONSE	n/a	n/a	1/2
130.44	n/a	RESPONSE	n/a	n/a	2/2
130.886	1.008	FIXCROSS	n/a	n/a	n/a
131.903	5.008	6_DOT_DETECTION	KCCDB	0	n/a
136.936	1.008	FIXCROSS	n/a	n/a	n/a
137.953	5.008	6_DOT_DETECTION	##OKO	2	n/a
139.36	n/a	RESPONSE	n/a	n/a	1/2
140.976	n/a	RESPONSE	n/a	n/a	2/2
142.986	1.008	FIXCROSS	n/a	n/a	n/a
144.003	5.008	6_DOT_DETECTION	TADMM	0	n/a
150.545	2.008	CUE_REST	n/a	n/a	n/a
155.045	1.008	FIXCROSS	n/a	n/a	n/a
161.095	1.008	FIXCROSS	n/a	n/a	n/a
168.653	2.008	CUE_6_DOT	n/a	n/a	n/a
175.153	1.008	FIXCROSS	n/a	n/a	n/a
176.17	5.008	6_DOT_DETECTION	AII#P	1	n/a
179.2	n/a	RESPONSE	n/a	n/a	1/1
181.203	1.008	FIXCROSS	n/a	n/a	n/a
182.22	5.008	6_DOT_DETECTION	#SAM#	2	n/a
184.56	n/a	RESPONSE	n/a	n/a	1/2
186.84	n/a	RESPONSE	n/a	n/a	2/2
187.253	1.008	FIXCROSS	n/a	n/a	n/a
188.27	5.008	6_DOT_DETECTION	SUB#D	1	n/a
191.44	n/a	RESPONSE	n/a	n/a	1/1
193.303	1.008	FIXCROSS	n/a	n/a	n/a
194.32	5.008	6_DOT_DETECTION	#KOK#	2	n/a
195.64	n/a	RESPONSE	n/a	n/a	1/2
198.72	n/a	RESPONSE	n/a	n/a	2/2
199.353	1.008	FIXCROSS	n/a	n/a	n/a
200.369	5.009	6_DOT_DETECTION	TMSŁE	0	n/a
205.403	1.008	FIXCROSS	n/a	n/a	n/a
206.419	5.009	6_DOT_DETECTION	OTO##	2	n/a
210.376	n/a	RESPONSE	n/a	n/a	1/2
211.453	1.008	FIXCROSS	n/a	n/a	n/a
211.76	n/a	RESPONSE	n/a	n/a	2/2
212.47	5.008	6_DOT_DETECTION	#LDDO	1	n/a
214.656	n/a	RESPONSE	n/a	n/a	1/1
217.503	1.008	FIXCROSS	n/a	n/a	n/a
218.52	5.008	6_DOT_DETECTION	##ODA	2	n/a
219.92	n/a	RESPONSE	n/a	n/a	1/2
220.936	n/a	RESPONSE	n/a	n/a	2/2
225.562	2.008	CUE_REST	n/a	n/a	n/a
229.562	1.008	FIXCROSS	n/a	n/a	n/a
235.612	1.008	FIXCROSS	n/a	n/a	n/a
243.67	2.008	CUE_6_DOT	n/a	n/a	n/a
249.67	1.008	FIXCROSS	n/a	n/a	n/a
250.687	5.008	6_DOT_DETECTION	#KIM#	2	n/a
253.296	n/a	RESPONSE	n/a	n/a	1/2
255.496	n/a	RESPONSE	n/a	n/a	2/2
255.72	1.008	FIXCROSS	n/a	n/a	n/a
256.737	5.008	6_DOT_DETECTION	AK#OC	1	n/a
259.576	n/a	RESPONSE	n/a	n/a	1/1
261.77	1.008	FIXCROSS	n/a	n/a	n/a
262.787	5.008	6_DOT_DETECTION	CTP#C	1	n/a
266.256	n/a	RESPONSE	n/a	n/a	1/1
267.82	1.008	FIXCROSS	n/a	n/a	n/a
268.837	5.008	6_DOT_DETECTION	BAL##	2	n/a
271.736	n/a	RESPONSE	n/a	n/a	1/2
273.04	n/a	RESPONSE	n/a	n/a	2/2
273.87	1.008	FIXCROSS	n/a	n/a	n/a
274.887	5.008	6_DOT_DETECTION	#KOC#	2	n/a
276.176	n/a	RESPONSE	n/a	n/a	1/2
279.48	n/a	RESPONSE	n/a	n/a	2/2
279.92	1.008	FIXCROSS	n/a	n/a	n/a
280.937	5.008	6_DOT_DETECTION	BO#BS	1	n/a
283.6	n/a	RESPONSE	n/a	n/a	1/1
285.97	1.008	FIXCROSS	n/a	n/a	n/a
286.987	5.008	6_DOT_DETECTION	#OBA#	2	n/a
288.456	n/a	RESPONSE	n/a	n/a	1/2
290.88	n/a	RESPONSE	n/a	n/a	2/2
292.02	1.008	FIXCROSS	n/a	n/a	n/a
293.037	5.008	6_DOT_DETECTION	CDLD#	1	n/a
296.92	n/a	RESPONSE	n/a	n/a	1/1
299.078	2.008	CUE_REST	n/a	n/a	n/a
305.079	1.008	FIXCROSS	n/a	n/a	n/a
311.129	1.008	FIXCROSS	n/a	n/a	n/a
318.687	2.008	CUE_6_DOT	n/a	n/a	n/a
324.187	1.008	FIXCROSS	n/a	n/a	n/a
325.204	5.008	6_DOT_DETECTION	TE#DK	1	n/a
327.816	n/a	RESPONSE	n/a	n/a	1/1
330.237	1.008	FIXCROSS	n/a	n/a	n/a
331.253	5.009	6_DOT_DETECTION	##LAM	2	n/a
333.792	n/a	RESPONSE	n/a	n/a	1/2
335.296	n/a	RESPONSE	n/a	n/a	2/2
336.287	1.008	FIXCROSS	n/a	n/a	n/a
337.304	5.008	6_DOT_DETECTION	KUC##	2	n/a
340.456	n/a	RESPONSE	n/a	n/a	1/2
341.896	n/a	RESPONSE	n/a	n/a	2/2
342.337	1.008	FIXCROSS	n/a	n/a	n/a
343.354	5.008	6_DOT_DETECTION	ATDUL	0	n/a
348.387	1.008	FIXCROSS	n/a	n/a	n/a
349.404	5.008	6_DOT_DETECTION	##SYK	2	n/a
351.176	n/a	RESPONSE	n/a	n/a	1/2
352.272	n/a	RESPONSE	n/a	n/a	2/2
354.437	1.008	FIXCROSS	n/a	n/a	n/a
355.454	5.008	6_DOT_DETECTION	LBDLS	0	n/a
360.487	1.008	FIXCROSS	n/a	n/a	n/a
361.504	5.008	6_DOT_DETECTION	LIC##	2	n/a
364.616	n/a	RESPONSE	n/a	n/a	1/2
366.096	n/a	RESPONSE	n/a	n/a	2/2
366.537	1.008	FIXCROSS	n/a	n/a	n/a
367.554	5.008	6_DOT_DETECTION	#BBTA	1	n/a
369.432	n/a	RESPONSE	n/a	n/a	1/1
373.595	2.008	CUE_REST	n/a	n/a	n/a
380.595	1.008	FIXCROSS	n/a	n/a	n/a
386.646	1.008	FIXCROSS	n/a	n/a	n/a
393.704	2.008	CUE_6_DOT	n/a	n/a	n/a
398.704	1.008	FIXCROSS	n/a	n/a	n/a
399.72	5.008	6_DOT_DETECTION	PAL##	2	n/a
403.136	n/a	RESPONSE	n/a	n/a	1/2
404.472	n/a	RESPONSE	n/a	n/a	2/2
404.754	1.008	FIXCROSS	n/a	n/a	n/a
405.77	5.008	6_DOT_DETECTION	ACCDB	0	n/a
410.804	1.008	FIXCROSS	n/a	n/a	n/a
411.82	5.008	6_DOT_DETECTION	##PAŁ	2	n/a
413.456	n/a	RESPONSE	n/a	n/a	1/2
414.512	n/a	RESPONSE	n/a	n/a	2/2
416.854	1.008	FIXCROSS	n/a	n/a	n/a
417.87	5.008	6_DOT_DETECTION	CB#CL	1	n/a
420.736	n/a	RESPONSE	n/a	n/a	1/1
422.904	1.008	FIXCROSS	n/a	n/a	n/a
423.921	5.008	6_DOT_DETECTION	##BOK	2	n/a
425.272	n/a	RESPONSE	n/a	n/a	1/2
426.512	n/a	RESPONSE	n/a	n/a	2/2
428.954	1.008	FIXCROSS	n/a	n/a	n/a
429.971	5.008	6_DOT_DETECTION	UUACO	0	n/a
435.004	1.008	FIXCROSS	n/a	n/a	n/a
436.021	5.008	6_DOT_DETECTION	ADAOD	0	n/a
441.054	1.008	FIXCROSS	n/a	n/a	n/a
442.071	5.008	6_DOT_DETECTION	#MOP#	2	n/a
443.912	n/a	RESPONSE	n/a	n/a	1/2
447.032	n/a	RESPONSE	n/a	n/a	2/2
