onset	duration	trial_type	braille_stimulus	targets	response_count
2.018	2.008	CUE_REST	n/a	n/a	n/a
7.018	1.008	FIXCROSS	n/a	n/a	n/a
13.068	1.008	FIXCROSS	n/a	n/a	n/a
21.126	2.008	CUE_6_DOT	n/a	n/a	n/a
26.126	1.008	FIXCROSS	n/a	n/a	n/a
27.143	5.008	6_DOT_DETECTION	POD##	2	n/a
30.456	n/a	RESPONSE	n/a	n/a	1/2
31.736	n/a	RESPONSE	n/a	n/a	2/2
32.176	1.008	FIXCROSS	n/a	n/a	n/a
33.193	5.008	6_DOT_DETECTION	SSTMT	0	n/a
38.226	1.008	FIXCROSS	n/a	n/a	n/a
39.243	5.008	6_DOT_DETECTION	##KOT	2	n/a
44.276	1.008	FIXCROSS	n/a	n/a	n/a
45.293	5.008	6_DOT_DETECTION	OCPPC	0	n/a
50.326	1.008	FIXCROSS	n/a	n/a	n/a
51.343	5.008	6_DOT_DETECTION	AKT##	2	n/a
56.376	1.008	FIXCROSS	n/a	n/a	n/a
57.393	5.008	6_DOT_DETECTION	ODŁSE	0	n/a
62.426	1.008	FIXCROSS	n/a	n/a	n/a
63.443	5.008	6_DOT_DETECTION	#LMCI	1	n/a
65.096	n/a	RESPONSE	n/a	n/a	1/1
68.476	1.008	FIXCROSS	n/a	n/a	n/a
69.493	5.008	6_DOT_DETECTION	##MYK	2	n/a
73.48	n/a	RESPONSE	n/a	n/a	1/2
74.52	n/a	RESPONSE	n/a	n/a	2/2
76.035	2.008	CUE_REST	n/a	n/a	n/a
82.535	1.008	FIXCROSS	n/a	n/a	n/a
88.585	1.008	FIXCROSS	n/a	n/a	n/a
95.643	2.008	CUE_6_DOT	n/a	n/a	n/a
100.643	1.008	FIXCROSS	n/a	n/a	n/a
101.66	5.008	6_DOT_DETECTION	KUŁ##	2	n/a
104.64	n/a	RESPONSE	n/a	n/a	1/2
105.616	n/a	RESPONSE	n/a	n/a	2/2
106.693	1.008	FIXCROSS	n/a	n/a	n/a
107.71	5.008	6_DOT_DETECTION	OALDO	0	n/a
112.743	1.008	FIXCROSS	n/a	n/a	n/a
113.759	5.009	6_DOT_DETECTION	#TLI#	2	n/a
117.52	n/a	RESPONSE	n/a	n/a	1/2
118.793	1.008	FIXCROSS	n/a	n/a	n/a
119.81	5.008	6_DOT_DETECTION	KAAE#	1	n/a
123.44	n/a	RESPONSE	n/a	n/a	1/1
124.843	1.008	FIXCROSS	n/a	n/a	n/a
125.86	5.008	6_DOT_DETECTION	#DLA#	2	n/a
126.68	n/a	RESPONSE	n/a	n/a	1/2
128.48	n/a	RESPONSE	n/a	n/a	2/2
130.893	1.008	FIXCROSS	n/a	n/a	n/a
131.909	5.009	6_DOT_DETECTION	KCCDB	0	n/a
136.943	1.008	FIXCROSS	n/a	n/a	n/a
137.96	5.008	6_DOT_DETECTION	##OKO	2	n/a
138.816	n/a	RESPONSE	n/a	n/a	1/2
139.616	n/a	RESPONSE	n/a	n/a	2/2
142.993	1.008	FIXCROSS	n/a	n/a	n/a
144.01	5.008	6_DOT_DETECTION	TADMM	0	n/a
150.551	2.008	CUE_REST	n/a	n/a	n/a
155.052	1.008	FIXCROSS	n/a	n/a	n/a
161.102	1.008	FIXCROSS	n/a	n/a	n/a
168.66	2.008	CUE_6_DOT	n/a	n/a	n/a
175.16	1.008	FIXCROSS	n/a	n/a	n/a
176.176	5.008	6_DOT_DETECTION	AII#P	1	n/a
178.472	n/a	RESPONSE	n/a	n/a	1/1
179.352	n/a	RESPONSE	n/a	n/a	2/1
181.21	1.008	FIXCROSS	n/a	n/a	n/a
182.226	5.008	6_DOT_DETECTION	#SAM#	2	n/a
183.792	n/a	RESPONSE	n/a	n/a	1/2
185.776	n/a	RESPONSE	n/a	n/a	2/2
187.26	1.008	FIXCROSS	n/a	n/a	n/a
188.276	5.009	6_DOT_DETECTION	SUB#D	1	n/a
190.432	n/a	RESPONSE	n/a	n/a	1/1
193.31	1.008	FIXCROSS	n/a	n/a	n/a
194.327	5.008	6_DOT_DETECTION	#KOK#	2	n/a
196.616	n/a	RESPONSE	n/a	n/a	1/2
198.296	n/a	RESPONSE	n/a	n/a	2/2
199.36	1.008	FIXCROSS	n/a	n/a	n/a
200.377	5.008	6_DOT_DETECTION	TMSŁE	0	n/a
205.41	1.008	FIXCROSS	n/a	n/a	n/a
206.426	5.009	6_DOT_DETECTION	OTO##	2	n/a
208.792	n/a	RESPONSE	n/a	n/a	1/2
209.992	n/a	RESPONSE	n/a	n/a	2/2
211.46	1.008	FIXCROSS	n/a	n/a	n/a
212.477	5.008	6_DOT_DETECTION	#LDDO	1	n/a
213.336	n/a	RESPONSE	n/a	n/a	1/1
217.51	1.008	FIXCROSS	n/a	n/a	n/a
218.527	5.008	6_DOT_DETECTION	##ODA	2	n/a
219.552	n/a	RESPONSE	n/a	n/a	1/2
220.416	n/a	RESPONSE	n/a	n/a	2/2
225.568	2.008	CUE_REST	n/a	n/a	n/a
229.568	1.008	FIXCROSS	n/a	n/a	n/a
235.618	1.008	FIXCROSS	n/a	n/a	n/a
243.677	2.008	CUE_6_DOT	n/a	n/a	n/a
249.677	1.008	FIXCROSS	n/a	n/a	n/a
250.693	5.008	6_DOT_DETECTION	#KIM#	2	n/a
251.616	n/a	RESPONSE	n/a	n/a	1/2
253.912	n/a	RESPONSE	n/a	n/a	2/2
255.727	1.008	FIXCROSS	n/a	n/a	n/a
256.743	5.009	6_DOT_DETECTION	AK#OC	1	n/a
258.632	n/a	RESPONSE	n/a	n/a	1/1
261.777	1.008	FIXCROSS	n/a	n/a	n/a
262.793	5.008	6_DOT_DETECTION	CTP#C	1	n/a
265.216	n/a	RESPONSE	n/a	n/a	1/1
267.827	1.008	FIXCROSS	n/a	n/a	n/a
268.844	5.008	6_DOT_DETECTION	BAL##	2	n/a
270.712	n/a	RESPONSE	n/a	n/a	1/2
271.816	n/a	RESPONSE	n/a	n/a	2/2
273.877	1.008	FIXCROSS	n/a	n/a	n/a
274.894	5.008	6_DOT_DETECTION	#KOC#	2	n/a
275.616	n/a	RESPONSE	n/a	n/a	1/2
277.672	n/a	RESPONSE	n/a	n/a	2/2
279.927	1.008	FIXCROSS	n/a	n/a	n/a
280.944	5.008	6_DOT_DETECTION	BO#BS	1	n/a
282.856	n/a	RESPONSE	n/a	n/a	1/1
285.977	1.008	FIXCROSS	n/a	n/a	n/a
286.994	5.008	6_DOT_DETECTION	#OBA#	2	n/a
287.792	n/a	RESPONSE	n/a	n/a	1/2
289.672	n/a	RESPONSE	n/a	n/a	2/2
292.027	1.008	FIXCROSS	n/a	n/a	n/a
293.044	5.008	6_DOT_DETECTION	CDLD#	1	n/a
295.912	n/a	RESPONSE	n/a	n/a	1/1
299.085	2.008	CUE_REST	n/a	n/a	n/a
305.085	1.008	FIXCROSS	n/a	n/a	n/a
311.135	1.008	FIXCROSS	n/a	n/a	n/a
318.694	2.008	CUE_6_DOT	n/a	n/a	n/a
324.194	1.008	FIXCROSS	n/a	n/a	n/a
325.21	5.008	6_DOT_DETECTION	TE#DK	1	n/a
327.216	n/a	RESPONSE	n/a	n/a	1/1
330.244	1.008	FIXCROSS	n/a	n/a	n/a
331.26	5.008	6_DOT_DETECTION	##LAM	2	n/a
332.056	n/a	RESPONSE	n/a	n/a	1/2
332.752	n/a	RESPONSE	n/a	n/a	2/2
333.696	n/a	RESPONSE	n/a	n/a	3/2
336.294	1.008	FIXCROSS	n/a	n/a	n/a
337.31	5.008	6_DOT_DETECTION	KUC##	2	n/a
341.112	n/a	RESPONSE	n/a	n/a	1/2
342.192	n/a	RESPONSE	n/a	n/a	2/2
342.344	1.008	FIXCROSS	n/a	n/a	n/a
343.36	5.009	6_DOT_DETECTION	ATDUL	0	n/a
348.394	1.008	FIXCROSS	n/a	n/a	n/a
349.41	5.008	6_DOT_DETECTION	##SYK	2	n/a
350.216	n/a	RESPONSE	n/a	n/a	1/2
350.976	n/a	RESPONSE	n/a	n/a	2/2
354.444	1.008	FIXCROSS	n/a	n/a	n/a
355.46	5.009	6_DOT_DETECTION	LBDLS	0	n/a
360.494	1.008	FIXCROSS	n/a	n/a	n/a
361.51	5.008	6_DOT_DETECTION	LIC##	2	n/a
363.256	n/a	RESPONSE	n/a	n/a	1/2
364.112	n/a	RESPONSE	n/a	n/a	2/2
