onset	duration	trial_type	melody_number	melody_part	key	sound	action
0.0	14.094	CUE_START	n/a	n/a	n/a	n/a	n/a
14.095	7.759	FIXCROSS	n/a	n/a	n/a	n/a	n/a
21.854	6.307	CUE_LISTEN	M4	1	n/a	n/a	n/a
28.162	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
35.92	6.317	CUE_PLAYBACK_BOTH_HANDS	M4	1	n/a	n/a	n/a
36.835	n/a	RESPONSE	M4	1	12	C4	press
36.837	n/a	RESPONSE	M4	1	09	A3	press
36.842	n/a	RESPONSE	M4	1	05	F3	press
36.954	n/a	RESPONSE	M4	1	17	F4	press
39.088	n/a	RESPONSE	M4	1	21	A4	press
39.355	n/a	RESPONSE	M4	1	17	F4	release
39.55	n/a	RESPONSE	M4	1	19	G4	press
39.618	n/a	RESPONSE	M4	1	21	A4	release
39.846	n/a	RESPONSE	M4	1	17	F4	press
39.944	n/a	RESPONSE	M4	1	19	G4	release
40.187	n/a	RESPONSE	M4	1	16	E4	press
40.304	n/a	RESPONSE	M4	1	17	F4	release
40.501	n/a	RESPONSE	M4	1	17	F4	press
40.581	n/a	RESPONSE	M4	1	16	E4	release
40.822	n/a	RESPONSE	M4	1	12	C4	release
40.825	n/a	RESPONSE	M4	1	05	F3	release
40.857	n/a	RESPONSE	M4	1	09	A3	release
41.008	n/a	RESPONSE	M4	1	17	F4	release
41.257	n/a	RESPONSE	M4	1	09	A3	press
41.26	n/a	RESPONSE	M4	1	12	C4	press
41.28	n/a	RESPONSE	M4	1	05	F3	press
41.661	n/a	RESPONSE	M4	1	17	F4	press
42.022	n/a	RESPONSE	M4	1	21	A4	press
42.144	n/a	RESPONSE	M4	1	17	F4	release
42.237	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
42.375	n/a	RESPONSE	M4	1	19	G4	press
42.576	n/a	RESPONSE	M4	1	21	A4	release
42.717	n/a	RESPONSE	M4	1	17	F4	press
42.778	n/a	RESPONSE	M4	1	19	G4	release
43.02	n/a	RESPONSE	M4	1	16	E4	press
43.113	n/a	RESPONSE	M4	1	17	F4	release
43.342	n/a	RESPONSE	M4	1	17	F4	press
43.404	n/a	RESPONSE	M4	1	16	E4	release
43.865	n/a	RESPONSE	M4	1	17	F4	release
43.938	n/a	RESPONSE	M4	1	05	F3	release
43.997	n/a	RESPONSE	M4	1	09	A3	release
44.018	n/a	RESPONSE	M4	1	12	C4	release
49.995	6.325	CUE_LISTEN	M4	2	n/a	n/a	n/a
56.32	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
64.078	6.317	CUE_PLAYBACK_BOTH_HANDS	M4	2	n/a	n/a	n/a
64.527	n/a	RESPONSE	M4	2	12	C4	press
64.53	n/a	RESPONSE	M4	2	09	A3	press
64.58	n/a	RESPONSE	M4	2	05	F3	press
65.791	n/a	RESPONSE	M4	2	19	G4	press
66.152	n/a	RESPONSE	M4	2	19	G4	release
66.246	n/a	RESPONSE	M4	2	17	F4	press
