onset	duration	trial_type	melody_number	melody_part	key	sound	action
0.0	14.087	CUE_START	n/a	n/a	n/a	n/a	n/a
14.088	7.76	FIXCROSS	n/a	n/a	n/a	n/a	n/a
21.847	6.316	CUE_LISTEN	M4	1	n/a	n/a	n/a
28.162	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
35.921	6.317	CUE_PLAYBACK_RIGHT_HAND	M4	1	n/a	n/a	n/a
36.59	n/a	RESPONSE	M4	1	21	A4	press
36.801	n/a	RESPONSE	M4	1	21	A4	release
36.842	n/a	RESPONSE	M4	1	21	A4	press
37.045	n/a	RESPONSE	M4	1	21	A4	release
37.165	n/a	RESPONSE	M4	1	21	A4	press
37.606	n/a	RESPONSE	M4	1	21	A4	release
37.737	n/a	RESPONSE	M4	1	21	A4	press
37.938	n/a	RESPONSE	M4	1	21	A4	release
38.012	n/a	RESPONSE	M4	1	21	A4	press
38.191	n/a	RESPONSE	M4	1	21	A4	release
38.322	n/a	RESPONSE	M4	1	21	A4	press
38.724	n/a	RESPONSE	M4	1	21	A4	release
38.945	n/a	RESPONSE	M4	1	21	A4	press
39.306	n/a	RESPONSE	M4	1	22	A#4	press
39.35	n/a	RESPONSE	M4	1	21	A4	release
39.72	n/a	RESPONSE	M4	1	22	A#4	release
39.976	n/a	RESPONSE	M4	1	21	A4	press
40.291	n/a	RESPONSE	M4	1	24	C5	press
40.347	n/a	RESPONSE	M4	1	21	A4	release
40.628	n/a	RESPONSE	M4	1	17	F4	press
40.761	n/a	RESPONSE	M4	1	24	C5	release
40.97	n/a	RESPONSE	M4	1	19	G4	press
41.045	n/a	RESPONSE	M4	1	17	F4	release
41.294	n/a	RESPONSE	M4	1	21	A4	press
41.361	n/a	RESPONSE	M4	1	19	G4	release
42.238	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
42.411	n/a	RESPONSE	M4	1	21	A4	release
49.996	6.325	CUE_LISTEN	M4	2	n/a	n/a	n/a
56.321	7.759	FIXCROSS	n/a	n/a	n/a	n/a	n/a
64.079	6.317	CUE_PLAYBACK_RIGHT_HAND	M4	2	n/a	n/a	n/a
64.792	n/a	RESPONSE	M4	2	22	A#4	press
64.976	n/a	RESPONSE	M4	2	22	A#4	release
65.055	n/a	RESPONSE	M4	2	22	A#4	press
65.246	n/a	RESPONSE	M4	2	22	A#4	release
65.359	n/a	RESPONSE	M4	2	22	A#4	press
65.53	n/a	RESPONSE	M4	2	22	A#4	release
65.662	n/a	RESPONSE	M4	2	22	A#4	press
65.881	n/a	RESPONSE	M4	2	22	A#4	release
65.962	n/a	RESPONSE	M4	2	21	A4	press
66.144	n/a	RESPONSE	M4	2	21	A4	release
66.655	n/a	RESPONSE	M4	2	21	A4	press
66.846	n/a	RESPONSE	M4	2	21	A4	release
67.047	n/a	RESPONSE	M4	2	21	A4	press
67.228	n/a	RESPONSE	M4	2	21	A4	release
67.41	n/a	RESPONSE	M4	2	21	A4	press
67.611	n/a	RESPONSE	M4	2	21	A4	release
67.762	n/a	RESPONSE	M4	2	19	G4	press
67.954	n/a	RESPONSE	M4	2	19	G4	release
68.126	n/a	RESPONSE	M4	2	19	G4	press
68.316	n/a	RESPONSE	M4	2	19	G4	release
68.687	n/a	RESPONSE	M4	2	21	A4	press
68.928	n/a	RESPONSE	M4	2	21	A4	release
69.102	n/a	RESPONSE	M4	2	19	G4	press
69.72	n/a	RESPONSE	M4	2	19	G4	release
69.794	n/a	RESPONSE	M4	2	24	C5	press
70.396	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
70.406	n/a	RESPONSE	M4	2	24	C5	release
