onset	duration	trial_type	braille_stimulus	targets	response_count
2.018	2.008	CUE_6_DOT	n/a	n/a	n/a
7.018	1.008	FIXCROSS	n/a	n/a	n/a
8.035	5.008	6_DOT_DETECTION	POD##	2	n/a
11.554	n/a	RESPONSE	n/a	n/a	1/2
13.068	1.008	FIXCROSS	n/a	n/a	n/a
14.085	5.008	6_DOT_DETECTION	SSTMT	0	n/a
15.252	n/a	RESPONSE	n/a	n/a	1/0
17.977	n/a	RESPONSE	n/a	n/a	2/0
19.118	1.008	FIXCROSS	n/a	n/a	n/a
20.134	5.009	6_DOT_DETECTION	##KOT	2	n/a
21.553	n/a	RESPONSE	n/a	n/a	1/2
25.168	1.008	FIXCROSS	n/a	n/a	n/a
26.184	5.009	6_DOT_DETECTION	OCPPC	0	n/a
28.433	n/a	RESPONSE	n/a	n/a	1/0
31.052	n/a	RESPONSE	n/a	n/a	2/0
31.218	1.008	FIXCROSS	n/a	n/a	n/a
32.235	5.008	6_DOT_DETECTION	AKT##	2	n/a
35.192	n/a	RESPONSE	n/a	n/a	1/2
36.532	n/a	RESPONSE	n/a	n/a	2/2
37.268	1.008	FIXCROSS	n/a	n/a	n/a
38.284	5.009	6_DOT_DETECTION	ODŁSE	0	n/a
43.318	1.008	FIXCROSS	n/a	n/a	n/a
44.335	5.008	6_DOT_DETECTION	#LMCI	1	n/a
45.373	n/a	RESPONSE	n/a	n/a	1/1
49.368	1.008	FIXCROSS	n/a	n/a	n/a
50.385	5.008	6_DOT_DETECTION	##MYK	2	n/a
51.311	n/a	RESPONSE	n/a	n/a	1/2
54.206	n/a	RESPONSE	n/a	n/a	2/2
57.426	2.008	CUE_REST	n/a	n/a	n/a
62.426	1.008	FIXCROSS	n/a	n/a	n/a
68.476	1.008	FIXCROSS	n/a	n/a	n/a
75.535	2.008	CUE_6_DOT	n/a	n/a	n/a
80.535	1.008	FIXCROSS	n/a	n/a	n/a
81.552	5.008	6_DOT_DETECTION	KUŁ##	2	n/a
84.952	n/a	RESPONSE	n/a	n/a	1/2
85.998	n/a	RESPONSE	n/a	n/a	2/2
86.585	1.008	FIXCROSS	n/a	n/a	n/a
87.602	5.008	6_DOT_DETECTION	OALDO	0	n/a
89.674	n/a	RESPONSE	n/a	n/a	1/0
92.635	1.008	FIXCROSS	n/a	n/a	n/a
93.651	5.009	6_DOT_DETECTION	#TLI#	2	n/a
94.851	n/a	RESPONSE	n/a	n/a	1/2
97.258	n/a	RESPONSE	n/a	n/a	2/2
98.685	1.008	FIXCROSS	n/a	n/a	n/a
99.702	5.008	6_DOT_DETECTION	KAAE#	1	n/a
103.097	n/a	RESPONSE	n/a	n/a	1/1
104.735	1.008	FIXCROSS	n/a	n/a	n/a
105.751	5.009	6_DOT_DETECTION	#DLA#	2	n/a
106.984	n/a	RESPONSE	n/a	n/a	1/2
109.408	n/a	RESPONSE	n/a	n/a	2/2
110.785	1.008	FIXCROSS	n/a	n/a	n/a
111.801	5.009	6_DOT_DETECTION	KCCDB	0	n/a
116.835	1.008	FIXCROSS	n/a	n/a	n/a
117.852	5.008	6_DOT_DETECTION	##OKO	2	n/a
119.056	n/a	RESPONSE	n/a	n/a	1/2
120.418	n/a	RESPONSE	n/a	n/a	2/2
122.885	1.008	FIXCROSS	n/a	n/a	n/a
123.901	5.009	6_DOT_DETECTION	TADMM	0	n/a
130.443	2.008	CUE_REST	n/a	n/a	n/a
136.943	1.008	FIXCROSS	n/a	n/a	n/a
142.993	1.008	FIXCROSS	n/a	n/a	n/a
150.552	2.008	CUE_6_DOT	n/a	n/a	n/a
157.052	1.008	FIXCROSS	n/a	n/a	n/a
158.068	5.008	6_DOT_DETECTION	AII#P	1	n/a
162.347	n/a	RESPONSE	n/a	n/a	1/1
163.102	1.008	FIXCROSS	n/a	n/a	n/a
163.162	n/a	RESPONSE	n/a	n/a	2/1
164.118	5.008	6_DOT_DETECTION	#SAM#	2	n/a
165.889	n/a	RESPONSE	n/a	n/a	1/2
167.907	n/a	RESPONSE	n/a	n/a	2/2
169.152	1.008	FIXCROSS	n/a	n/a	n/a
170.168	5.008	6_DOT_DETECTION	SUB#D	1	n/a
172.913	n/a	RESPONSE	n/a	n/a	1/1
175.202	1.008	FIXCROSS	n/a	n/a	n/a
176.218	5.009	6_DOT_DETECTION	#KOK#	2	n/a
177.119	n/a	RESPONSE	n/a	n/a	1/2
179.307	n/a	RESPONSE	n/a	n/a	2/2
181.252	1.008	FIXCROSS	n/a	n/a	n/a
182.268	5.009	6_DOT_DETECTION	TMSŁE	0	n/a
187.302	1.008	FIXCROSS	n/a	n/a	n/a
188.318	5.008	6_DOT_DETECTION	OTO##	2	n/a
191.847	n/a	RESPONSE	n/a	n/a	1/2
192.671	n/a	RESPONSE	n/a	n/a	2/2
193.352	1.008	FIXCROSS	n/a	n/a	n/a
194.368	5.008	6_DOT_DETECTION	#LDDO	1	n/a
195.826	n/a	RESPONSE	n/a	n/a	1/1
199.402	1.008	FIXCROSS	n/a	n/a	n/a
200.418	5.008	6_DOT_DETECTION	##ODA	2	n/a
201.818	n/a	RESPONSE	n/a	n/a	1/2
202.817	n/a	RESPONSE	n/a	n/a	2/2
206.96	2.008	CUE_REST	n/a	n/a	n/a
211.46	1.008	FIXCROSS	n/a	n/a	n/a
217.51	1.008	FIXCROSS	n/a	n/a	n/a
225.568	2.008	CUE_6_DOT	n/a	n/a	n/a
231.568	1.008	FIXCROSS	n/a	n/a	n/a
232.585	5.008	6_DOT_DETECTION	#KIM#	2	n/a
235.066	n/a	RESPONSE	n/a	n/a	1/2
237.619	1.008	FIXCROSS	n/a	n/a	n/a
238.077	n/a	RESPONSE	n/a	n/a	2/2
238.635	5.009	6_DOT_DETECTION	AK#OC	1	n/a
241.623	n/a	RESPONSE	n/a	n/a	1/1
242.473	n/a	RESPONSE	n/a	n/a	2/1
243.668	1.008	FIXCROSS	n/a	n/a	n/a
244.685	5.009	6_DOT_DETECTION	CTP#C	1	n/a
247.852	n/a	RESPONSE	n/a	n/a	1/1
248.658	n/a	RESPONSE	n/a	n/a	2/1
249.719	1.008	FIXCROSS	n/a	n/a	n/a
250.735	5.008	6_DOT_DETECTION	BAL##	2	n/a
253.354	n/a	RESPONSE	n/a	n/a	1/2
254.539	n/a	RESPONSE	n/a	n/a	2/2
255.769	1.008	FIXCROSS	n/a	n/a	n/a
256.785	5.008	6_DOT_DETECTION	#KOC#	2	n/a
258.249	n/a	RESPONSE	n/a	n/a	1/2
260.573	n/a	RESPONSE	n/a	n/a	2/2
261.819	1.008	FIXCROSS	n/a	n/a	n/a
262.835	5.008	6_DOT_DETECTION	BO#BS	1	n/a
265.163	n/a	RESPONSE	n/a	n/a	1/1
267.869	1.008	FIXCROSS	n/a	n/a	n/a
268.885	5.008	6_DOT_DETECTION	#OBA#	2	n/a
270.371	n/a	RESPONSE	n/a	n/a	1/2
272.187	n/a	RESPONSE	n/a	n/a	2/2
273.919	1.008	FIXCROSS	n/a	n/a	n/a
274.935	5.009	6_DOT_DETECTION	CDLD#	1	n/a
277.902	n/a	RESPONSE	n/a	n/a	1/1
281.977	2.008	CUE_REST	n/a	n/a	n/a
285.977	1.008	FIXCROSS	n/a	n/a	n/a
292.027	1.008	FIXCROSS	n/a	n/a	n/a
299.585	2.008	CUE_6_DOT	n/a	n/a	n/a
305.085	1.008	FIXCROSS	n/a	n/a	n/a
306.102	5.008	6_DOT_DETECTION	TE#DK	1	n/a
309.256	n/a	RESPONSE	n/a	n/a	1/1
310.665	n/a	RESPONSE	n/a	n/a	2/1
