onset	duration	trial_type	braille_stimulus	targets	response_count
2.01	2.008	CUE_6_DOT	n/a	n/a	n/a
7.01	1.008	FIXCROSS	n/a	n/a	n/a
8.027	5.008	6_DOT_DETECTION	USLLM	0	n/a
11.2	n/a	RESPONSE	n/a	n/a	1/0
13.06	1.008	FIXCROSS	n/a	n/a	n/a
13.224	n/a	RESPONSE	n/a	n/a	2/0
14.077	5.008	6_DOT_DETECTION	BAŁ#Ł	1	n/a
19.11	1.008	FIXCROSS	n/a	n/a	n/a
20.127	5.008	6_DOT_DETECTION	#IŁPM	1	n/a
24.0	n/a	RESPONSE	n/a	n/a	1/1
25.16	1.008	FIXCROSS	n/a	n/a	n/a
26.177	5.008	6_DOT_DETECTION	BAT##	2	n/a
29.344	n/a	RESPONSE	n/a	n/a	1/2
30.88	n/a	RESPONSE	n/a	n/a	2/2
31.21	1.008	FIXCROSS	n/a	n/a	n/a
32.227	5.008	6_DOT_DETECTION	LACIC	0	n/a
37.26	1.008	FIXCROSS	n/a	n/a	n/a
38.277	5.008	6_DOT_DETECTION	I#YUK	1	n/a
40.16	n/a	RESPONSE	n/a	n/a	1/1
43.31	1.008	FIXCROSS	n/a	n/a	n/a
44.327	5.008	6_DOT_DETECTION	IDY#K	1	n/a
46.824	n/a	RESPONSE	n/a	n/a	1/1
49.36	1.008	FIXCROSS	n/a	n/a	n/a
50.377	5.008	6_DOT_DETECTION	I#TUL	1	n/a
52.64	n/a	RESPONSE	n/a	n/a	1/1
57.419	2.008	CUE_REST	n/a	n/a	n/a
62.419	1.008	FIXCROSS	n/a	n/a	n/a
68.469	1.008	FIXCROSS	n/a	n/a	n/a
75.527	2.008	CUE_6_DOT	n/a	n/a	n/a
80.527	1.008	FIXCROSS	n/a	n/a	n/a
81.544	5.008	6_DOT_DETECTION	#CYK#	2	n/a
83.48	n/a	RESPONSE	n/a	n/a	1/2
86.16	n/a	RESPONSE	n/a	n/a	2/2
86.577	1.008	FIXCROSS	n/a	n/a	n/a
87.594	5.008	6_DOT_DETECTION	BOI##	2	n/a
90.624	n/a	RESPONSE	n/a	n/a	1/2
92.627	1.008	FIXCROSS	n/a	n/a	n/a
93.644	5.008	6_DOT_DETECTION	PM#LA	1	n/a
96.08	n/a	RESPONSE	n/a	n/a	1/1
98.677	1.008	FIXCROSS	n/a	n/a	n/a
99.694	5.008	6_DOT_DETECTION	O#KUP	1	n/a
101.4	n/a	RESPONSE	n/a	n/a	1/1
104.36	n/a	RESPONSE	n/a	n/a	2/1
104.727	1.008	FIXCROSS	n/a	n/a	n/a
105.744	5.008	6_DOT_DETECTION	#PSY#	2	n/a
107.6	n/a	RESPONSE	n/a	n/a	1/2
110.6	n/a	RESPONSE	n/a	n/a	2/2
110.777	1.008	FIXCROSS	n/a	n/a	n/a
111.794	5.008	6_DOT_DETECTION	IE##T	2	n/a
114.36	n/a	RESPONSE	n/a	n/a	1/2
116.827	1.008	FIXCROSS	n/a	n/a	n/a
117.844	5.008	6_DOT_DETECTION	##ŁAT	2	n/a
120.0	n/a	RESPONSE	n/a	n/a	1/2
122.877	1.008	FIXCROSS	n/a	n/a	n/a
123.894	5.008	6_DOT_DETECTION	IEYYŁ	0	n/a
126.56	n/a	RESPONSE	n/a	n/a	1/0
130.436	2.008	CUE_REST	n/a	n/a	n/a
136.936	1.008	FIXCROSS	n/a	n/a	n/a
142.986	1.008	FIXCROSS	n/a	n/a	n/a
150.544	2.008	CUE_6_DOT	n/a	n/a	n/a
157.044	1.008	FIXCROSS	n/a	n/a	n/a
158.061	5.008	6_DOT_DETECTION	PUŁTM	0	n/a
162.0	n/a	RESPONSE	n/a	n/a	1/0
163.094	1.008	FIXCROSS	n/a	n/a	n/a
164.111	5.008	6_DOT_DETECTION	PAS##	2	n/a
166.464	n/a	RESPONSE	n/a	n/a	1/2
169.144	1.008	FIXCROSS	n/a	n/a	n/a
170.161	5.008	6_DOT_DETECTION	#SIŁ#	2	n/a
173.104	n/a	RESPONSE	n/a	n/a	1/2
175.194	1.008	FIXCROSS	n/a	n/a	n/a
176.211	5.008	6_DOT_DETECTION	#SOS#	2	n/a
177.64	n/a	RESPONSE	n/a	n/a	1/2
180.144	n/a	RESPONSE	n/a	n/a	2/2
181.244	1.008	FIXCROSS	n/a	n/a	n/a
182.261	5.008	6_DOT_DETECTION	##TOM	2	n/a
183.184	n/a	RESPONSE	n/a	n/a	1/2
183.784	n/a	RESPONSE	n/a	n/a	2/2
187.294	1.008	FIXCROSS	n/a	n/a	n/a
188.311	5.008	6_DOT_DETECTION	LLCSO	0	n/a
192.304	n/a	RESPONSE	n/a	n/a	1/0
193.344	1.008	FIXCROSS	n/a	n/a	n/a
194.361	5.008	6_DOT_DETECTION	LUD#A	1	n/a
197.64	n/a	RESPONSE	n/a	n/a	1/1
199.394	1.008	FIXCROSS	n/a	n/a	n/a
200.411	5.008	6_DOT_DETECTION	##ALE	2	n/a
202.064	n/a	RESPONSE	n/a	n/a	1/2
206.952	2.008	CUE_REST	n/a	n/a	n/a
211.452	1.008	FIXCROSS	n/a	n/a	n/a
217.502	1.008	FIXCROSS	n/a	n/a	n/a
225.561	2.008	CUE_6_DOT	n/a	n/a	n/a
231.561	1.008	FIXCROSS	n/a	n/a	n/a
232.578	5.008	6_DOT_DETECTION	ŁDKID	0	n/a
236.064	n/a	RESPONSE	n/a	n/a	1/0
237.611	1.008	FIXCROSS	n/a	n/a	n/a
238.628	5.008	6_DOT_DETECTION	LIP##	2	n/a
241.064	n/a	RESPONSE	n/a	n/a	1/2
242.88	n/a	RESPONSE	n/a	n/a	2/2
243.661	1.008	FIXCROSS	n/a	n/a	n/a
244.678	5.008	6_DOT_DETECTION	TOP#C	1	n/a
249.711	1.008	FIXCROSS	n/a	n/a	n/a
250.728	5.008	6_DOT_DETECTION	ŁL#BM	1	n/a
253.504	n/a	RESPONSE	n/a	n/a	1/1
255.761	1.008	FIXCROSS	n/a	n/a	n/a
256.777	5.008	6_DOT_DETECTION	##ŁOM	2	n/a
