onset	duration	trial_type	melody_number	melody_part	key	sound	action
0.0	14.085	CUE_START	n/a	n/a	n/a	n/a	n/a
14.086	7.76	FIXCROSS	n/a	n/a	n/a	n/a	n/a
21.846	6.316	CUE_LISTEN	M3	1	n/a	n/a	n/a
28.161	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
35.919	6.317	CUE_PLAYBACK_BOTH_HANDS	M3	1	n/a	n/a	n/a
37.512	n/a	RESPONSE	M3	1	00	C3	press
37.536	n/a	RESPONSE	M3	1	12	C4	press
37.945	n/a	RESPONSE	M3	1	07	G3	press
37.986	n/a	RESPONSE	M3	1	14	D4	press
38.13	n/a	RESPONSE	M3	1	12	C4	release
38.413	n/a	RESPONSE	M3	1	04	E3	press
38.424	n/a	RESPONSE	M3	1	16	E4	press
38.46	n/a	RESPONSE	M3	1	00	C3	release
38.506	n/a	RESPONSE	M3	1	07	G3	release
38.575	n/a	RESPONSE	M3	1	14	D4	release
38.883	n/a	RESPONSE	M3	1	07	G3	press
38.894	n/a	RESPONSE	M3	1	12	C4	press
39.07	n/a	RESPONSE	M3	1	04	E3	release
39.225	n/a	RESPONSE	M3	1	16	E4	release
39.235	n/a	RESPONSE	M3	1	12	C4	release
39.33	n/a	RESPONSE	M3	1	00	C3	press
39.356	n/a	RESPONSE	M3	1	12	C4	press
39.369	n/a	RESPONSE	M3	1	07	G3	release
39.748	n/a	RESPONSE	M3	1	07	G3	press
39.79	n/a	RESPONSE	M3	1	14	D4	press
39.863	n/a	RESPONSE	M3	1	00	C3	release
40.166	n/a	RESPONSE	M3	1	12	C4	release
40.193	n/a	RESPONSE	M3	1	04	E3	press
40.218	n/a	RESPONSE	M3	1	16	E4	press
40.338	n/a	RESPONSE	M3	1	14	D4	release
40.34	n/a	RESPONSE	M3	1	07	G3	release
40.649	n/a	RESPONSE	M3	1	07	G3	press
40.675	n/a	RESPONSE	M3	1	12	C4	press
40.735	n/a	RESPONSE	M3	1	04	E3	release
40.778	n/a	RESPONSE	M3	1	16	E4	release
41.271	n/a	RESPONSE	M3	1	12	C4	release
41.425	n/a	RESPONSE	M3	1	07	G3	release
42.236	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
49.994	6.325	CUE_LISTEN	M3	2	n/a	n/a	n/a
56.319	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
64.078	6.317	CUE_PLAYBACK_BOTH_HANDS	M3	2	n/a	n/a	n/a
64.819	n/a	RESPONSE	M3	2	00	C3	press
64.823	n/a	RESPONSE	M3	2	16	E4	press
65.302	n/a	RESPONSE	M3	2	07	G3	press
65.315	n/a	RESPONSE	M3	2	17	F4	press
65.544	n/a	RESPONSE	M3	2	16	E4	release
65.605	n/a	RESPONSE	M3	2	00	C3	release
65.756	n/a	RESPONSE	M3	2	04	E3	press
65.789	n/a	RESPONSE	M3	2	19	G4	press
65.842	n/a	RESPONSE	M3	2	07	G3	release
65.92	n/a	RESPONSE	M3	2	17	F4	release
66.244	n/a	RESPONSE	M3	2	07	G3	press
66.333	n/a	RESPONSE	M3	2	04	E3	release
66.695	n/a	RESPONSE	M3	2	00	C3	press
66.718	n/a	RESPONSE	M3	2	16	E4	press
66.769	n/a	RESPONSE	M3	2	07	G3	release
66.828	n/a	RESPONSE	M3	2	19	G4	release
67.12	n/a	RESPONSE	M3	2	07	G3	press
67.15	n/a	RESPONSE	M3	2	17	F4	press
67.398	n/a	RESPONSE	M3	2	00	C3	release
67.584	n/a	RESPONSE	M3	2	19	G4	press
67.586	n/a	RESPONSE	M3	2	04	E3	press
67.649	n/a	RESPONSE	M3	2	16	E4	release
67.694	n/a	RESPONSE	M3	2	07	G3	release
67.7	n/a	RESPONSE	M3	2	17	F4	release
68.068	n/a	RESPONSE	M3	2	07	G3	press
68.135	n/a	RESPONSE	M3	2	04	E3	release
68.696	n/a	RESPONSE	M3	2	19	G4	release
68.725	n/a	RESPONSE	M3	2	07	G3	release
70.394	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
78.153	6.325	CUE_LISTEN	M3	1	n/a	n/a	n/a
84.478	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
92.236	6.317	CUE_PLAYBACK_BOTH_HANDS	M3	1	n/a	n/a	n/a
93.433	n/a	RESPONSE	M3	1	00	C3	press
93.453	n/a	RESPONSE	M3	1	19	G4	press
93.694	n/a	RESPONSE	M3	1	21	A4	press
93.875	n/a	RESPONSE	M3	1	19	G4	release
93.966	n/a	RESPONSE	M3	1	07	G3	press
93.978	n/a	RESPONSE	M3	1	19	G4	press
94.161	n/a	RESPONSE	M3	1	21	A4	release
94.19	n/a	RESPONSE	M3	1	17	F4	press
94.211	n/a	RESPONSE	M3	1	00	C3	release
94.463	n/a	RESPONSE	M3	1	04	E3	press
94.494	n/a	RESPONSE	M3	1	16	E4	press
94.515	n/a	RESPONSE	M3	1	19	G4	release
94.539	n/a	RESPONSE	M3	1	07	G3	release
94.688	n/a	RESPONSE	M3	1	17	F4	release
94.941	n/a	RESPONSE	M3	1	07	G3	press
94.97	n/a	RESPONSE	M3	1	12	C4	press
95.044	n/a	RESPONSE	M3	1	04	E3	release
95.145	n/a	RESPONSE	M3	1	16	E4	release
95.504	n/a	RESPONSE	M3	1	00	C3	press
95.525	n/a	RESPONSE	M3	1	19	G4	press
95.609	n/a	RESPONSE	M3	1	07	G3	release
95.619	n/a	RESPONSE	M3	1	12	C4	release
95.759	n/a	RESPONSE	M3	1	21	A4	press
95.95	n/a	RESPONSE	M3	1	19	G4	release
96.063	n/a	RESPONSE	M3	1	07	G3	press
96.175	n/a	RESPONSE	M3	1	17	F4	press
96.184	n/a	RESPONSE	M3	1	19	G4	press
96.306	n/a	RESPONSE	M3	1	00	C3	release
96.31	n/a	RESPONSE	M3	1	21	A4	release
96.72	n/a	RESPONSE	M3	1	04	E3	press
96.8	n/a	RESPONSE	M3	1	07	G3	release
96.831	n/a	RESPONSE	M3	1	19	G4	release
97.315	n/a	RESPONSE	M3	1	07	G3	press
97.323	n/a	RESPONSE	M3	1	12	C4	press
97.33	n/a	RESPONSE	M3	1	14	D4	press
97.384	n/a	RESPONSE	M3	1	04	E3	release
97.59	n/a	RESPONSE	M3	1	14	D4	release
97.804	n/a	RESPONSE	M3	1	17	F4	release
98.106	n/a	RESPONSE	M3	1	12	C4	release
98.13	n/a	RESPONSE	M3	1	07	G3	release
98.553	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
106.311	6.317	CUE_LISTEN	M3	2	n/a	n/a	n/a
112.628	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
120.386	6.325	CUE_PLAYBACK_BOTH_HANDS	M3	2	n/a	n/a	n/a
121.018	n/a	RESPONSE	M3	2	00	C3	press
121.026	n/a	RESPONSE	M3	2	12	C4	press
121.408	n/a	RESPONSE	M3	2	12	C4	release
121.549	n/a	RESPONSE	M3	2	09	A3	press
121.93	n/a	RESPONSE	M3	2	09	A3	release
122.041	n/a	RESPONSE	M3	2	00	C3	release
122.103	n/a	RESPONSE	M3	2	12	C4	press
122.106	n/a	RESPONSE	M3	2	00	C3	press
122.829	n/a	RESPONSE	M3	2	00	C3	release
122.848	n/a	RESPONSE	M3	2	12	C4	release
123.039	n/a	RESPONSE	M3	2	00	C3	press
123.05	n/a	RESPONSE	M3	2	12	C4	press
123.451	n/a	RESPONSE	M3	2	12	C4	release
123.663	n/a	RESPONSE	M3	2	09	A3	press
124.074	n/a	RESPONSE	M3	2	00	C3	release
124.076	n/a	RESPONSE	M3	2	09	A3	release
124.208	n/a	RESPONSE	M3	2	00	C3	press
124.228	n/a	RESPONSE	M3	2	12	C4	press
124.859	n/a	RESPONSE	M3	2	00	C3	release
124.983	n/a	RESPONSE	M3	2	12	C4	release
126.711	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
134.47	6.317	CUE_LISTEN	M1	1	n/a	n/a	n/a
140.786	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
148.545	6.317	CUE_PLAYBACK_BOTH_HANDS	M1	1	n/a	n/a	n/a
149.428	n/a	RESPONSE	M1	1	19	G4	press
149.436	n/a	RESPONSE	M1	1	07	G3	press
149.439	n/a	RESPONSE	M1	1	00	C3	press
149.444	n/a	RESPONSE	M1	1	04	E3	press
149.859	n/a	RESPONSE	M1	1	16	E4	press
149.975	n/a	RESPONSE	M1	1	19	G4	release
150.166	n/a	RESPONSE	M1	1	16	E4	release
150.323	n/a	RESPONSE	M1	1	16	E4	press
150.52	n/a	RESPONSE	M1	1	00	C3	release
150.584	n/a	RESPONSE	M1	1	04	E3	release
150.596	n/a	RESPONSE	M1	1	16	E4	release
150.794	n/a	RESPONSE	M1	1	02	D3	press
150.81	n/a	RESPONSE	M1	1	17	F4	press
150.813	n/a	RESPONSE	M1	1	05	F3	press
151.233	n/a	RESPONSE	M1	1	14	D4	press
151.364	n/a	RESPONSE	M1	1	17	F4	release
151.555	n/a	RESPONSE	M1	1	14	D4	release
151.706	n/a	RESPONSE	M1	1	14	D4	press
151.918	n/a	RESPONSE	M1	1	05	F3	release
151.93	n/a	RESPONSE	M1	1	02	D3	release
151.96	n/a	RESPONSE	M1	1	07	G3	release
152.044	n/a	RESPONSE	M1	1	14	D4	release
152.123	n/a	RESPONSE	M1	1	04	E3	press
152.146	n/a	RESPONSE	M1	1	07	G3	press
152.155	n/a	RESPONSE	M1	1	00	C3	press
152.158	n/a	RESPONSE	M1	1	12	C4	press
152.199	n/a	RESPONSE	M1	1	02	D3	press
152.55	n/a	RESPONSE	M1	1	16	E4	press
152.881	n/a	RESPONSE	M1	1	12	C4	release
152.923	n/a	RESPONSE	M1	1	19	G4	press
153.044	n/a	RESPONSE	M1	1	16	E4	release
153.275	n/a	RESPONSE	M1	1	16	E4	press
153.446	n/a	RESPONSE	M1	1	02	D3	release
153.458	n/a	RESPONSE	M1	1	16	E4	release
153.55	n/a	RESPONSE	M1	1	19	G4	release
153.62	n/a	RESPONSE	M1	1	00	C3	release
153.631	n/a	RESPONSE	M1	1	04	E3	release
153.833	n/a	RESPONSE	M1	1	07	G3	release
154.861	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
162.62	6.325	CUE_LISTEN	M1	2	n/a	n/a	n/a
168.945	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
176.703	6.317	CUE_PLAYBACK_BOTH_HANDS	M1	2	n/a	n/a	n/a
