onset	duration	trial_type	braille_stimulus	targets	response_count
2.011	2.008	CUE_6_DOT	n/a	n/a	n/a
7.011	1.008	FIXCROSS	n/a	n/a	n/a
8.028	5.008	6_DOT_DETECTION	C#CEŁ	1	n/a
10.136	n/a	RESPONSE	n/a	n/a	1/1
13.061	1.008	FIXCROSS	n/a	n/a	n/a
14.078	5.008	6_DOT_DETECTION	ITŁEM	0	n/a
19.111	1.008	FIXCROSS	n/a	n/a	n/a
20.128	5.008	6_DOT_DETECTION	TEK##	2	n/a
23.816	n/a	RESPONSE	n/a	n/a	1/2
25.161	1.008	FIXCROSS	n/a	n/a	n/a
25.296	n/a	RESPONSE	n/a	n/a	2/2
26.178	5.008	6_DOT_DETECTION	O#LAS	1	n/a
28.336	n/a	RESPONSE	n/a	n/a	1/1
31.211	1.008	FIXCROSS	n/a	n/a	n/a
32.228	5.008	6_DOT_DETECTION	KOP#M	1	n/a
35.24	n/a	RESPONSE	n/a	n/a	1/1
37.261	1.008	FIXCROSS	n/a	n/a	n/a
38.278	5.008	6_DOT_DETECTION	SB#OL	1	n/a
41.016	n/a	RESPONSE	n/a	n/a	1/1
43.311	1.008	FIXCROSS	n/a	n/a	n/a
44.328	5.008	6_DOT_DETECTION	##KAT	2	n/a
45.936	n/a	RESPONSE	n/a	n/a	1/2
47.056	n/a	RESPONSE	n/a	n/a	2/2
49.361	1.008	FIXCROSS	n/a	n/a	n/a
50.378	5.008	6_DOT_DETECTION	DTIDI	0	n/a
52.536	n/a	RESPONSE	n/a	n/a	1/0
57.42	2.008	CUE_REST	n/a	n/a	n/a
62.42	1.008	FIXCROSS	n/a	n/a	n/a
68.47	1.008	FIXCROSS	n/a	n/a	n/a
75.528	2.008	CUE_6_DOT	n/a	n/a	n/a
80.528	1.008	FIXCROSS	n/a	n/a	n/a
81.545	5.008	6_DOT_DETECTION	BUT##	2	n/a
85.4	n/a	RESPONSE	n/a	n/a	1/2
86.578	1.008	FIXCROSS	n/a	n/a	n/a
86.656	n/a	RESPONSE	n/a	n/a	2/2
87.595	5.008	6_DOT_DETECTION	APD#C	1	n/a
90.496	n/a	RESPONSE	n/a	n/a	1/1
92.628	1.008	FIXCROSS	n/a	n/a	n/a
93.645	5.008	6_DOT_DETECTION	EUBEC	0	n/a
98.678	1.008	FIXCROSS	n/a	n/a	n/a
99.695	5.008	6_DOT_DETECTION	KMŁKM	0	n/a
104.728	1.008	FIXCROSS	n/a	n/a	n/a
105.745	5.008	6_DOT_DETECTION	#PSU#	2	n/a
107.016	n/a	RESPONSE	n/a	n/a	1/2
109.64	n/a	RESPONSE	n/a	n/a	2/2
110.778	1.008	FIXCROSS	n/a	n/a	n/a
111.795	5.008	6_DOT_DETECTION	PMSKK	0	n/a
116.828	1.008	FIXCROSS	n/a	n/a	n/a
117.845	5.008	6_DOT_DETECTION	T#BUD	1	n/a
119.616	n/a	RESPONSE	n/a	n/a	1/1
122.878	1.008	FIXCROSS	n/a	n/a	n/a
123.895	5.008	6_DOT_DETECTION	#KMBŁ	1	n/a
125.096	n/a	RESPONSE	n/a	n/a	1/1
130.436	2.008	CUE_REST	n/a	n/a	n/a
136.936	1.008	FIXCROSS	n/a	n/a	n/a
142.986	1.008	FIXCROSS	n/a	n/a	n/a
150.545	2.008	CUE_6_DOT	n/a	n/a	n/a
157.045	1.008	FIXCROSS	n/a	n/a	n/a
158.061	5.009	6_DOT_DETECTION	A#ŁAP	1	n/a
159.816	n/a	RESPONSE	n/a	n/a	1/1
163.095	1.008	FIXCROSS	n/a	n/a	n/a
164.111	5.008	6_DOT_DETECTION	TYŁ##	2	n/a
166.216	n/a	RESPONSE	n/a	n/a	1/2
167.52	n/a	RESPONSE	n/a	n/a	2/2
168.376	n/a	RESPONSE	n/a	n/a	3/2
169.145	1.008	FIXCROSS	n/a	n/a	n/a
170.161	5.008	6_DOT_DETECTION	TOK##	2	n/a
173.976	n/a	RESPONSE	n/a	n/a	1/2
174.816	n/a	RESPONSE	n/a	n/a	2/2
175.195	1.008	FIXCROSS	n/a	n/a	n/a
176.211	5.008	6_DOT_DETECTION	DBA#C	1	n/a
179.0	n/a	RESPONSE	n/a	n/a	1/1
181.245	1.008	FIXCROSS	n/a	n/a	n/a
182.261	5.008	6_DOT_DETECTION	KTIŁŁ	0	n/a
187.295	1.008	FIXCROSS	n/a	n/a	n/a
188.311	5.008	6_DOT_DETECTION	BLCLK	0	n/a
193.345	1.008	FIXCROSS	n/a	n/a	n/a
194.361	5.008	6_DOT_DETECTION	ESY##	2	n/a
196.656	n/a	RESPONSE	n/a	n/a	1/2
197.96	n/a	RESPONSE	n/a	n/a	2/2
199.056	n/a	RESPONSE	n/a	n/a	3/2
199.395	1.008	FIXCROSS	n/a	n/a	n/a
200.411	5.008	6_DOT_DETECTION	STO#E	1	n/a
203.976	n/a	RESPONSE	n/a	n/a	1/1
206.953	2.008	CUE_REST	n/a	n/a	n/a
211.453	1.008	FIXCROSS	n/a	n/a	n/a
217.503	1.008	FIXCROSS	n/a	n/a	n/a
225.562	2.008	CUE_6_DOT	n/a	n/a	n/a
231.562	1.008	FIXCROSS	n/a	n/a	n/a
232.578	5.008	6_DOT_DETECTION	#ULE#	2	n/a
234.216	n/a	RESPONSE	n/a	n/a	1/2
237.216	n/a	RESPONSE	n/a	n/a	2/2
237.612	1.008	FIXCROSS	n/a	n/a	n/a
238.628	5.008	6_DOT_DETECTION	#SAD#	2	n/a
240.376	n/a	RESPONSE	n/a	n/a	1/2
242.92	n/a	RESPONSE	n/a	n/a	2/2
243.662	1.008	FIXCROSS	n/a	n/a	n/a
244.678	5.008	6_DOT_DETECTION	AŁDLK	0	n/a
249.712	1.008	FIXCROSS	n/a	n/a	n/a
250.728	5.008	6_DOT_DETECTION	##PYŁ	2	n/a
252.64	n/a	RESPONSE	n/a	n/a	1/2
254.84	n/a	RESPONSE	n/a	n/a	2/2
255.762	1.008	FIXCROSS	n/a	n/a	n/a
256.778	5.008	6_DOT_DETECTION	ŁPPTY	0	n/a
261.016	n/a	RESPONSE	n/a	n/a	1/0
261.812	1.008	FIXCROSS	n/a	n/a	n/a
262.828	5.008	6_DOT_DETECTION	ŁY#SE	1	n/a
265.176	n/a	RESPONSE	n/a	n/a	1/1
266.576	n/a	RESPONSE	n/a	n/a	2/1
267.862	1.008	FIXCROSS	n/a	n/a	n/a
268.878	5.008	6_DOT_DETECTION	CIKUE	0	n/a
273.912	1.008	FIXCROSS	n/a	n/a	n/a
274.928	5.009	6_DOT_DETECTION	P#ŁUY	1	n/a
276.776	n/a	RESPONSE	n/a	n/a	1/1
279.216	n/a	RESPONSE	n/a	n/a	2/1
281.97	2.008	CUE_REST	n/a	n/a	n/a
285.97	1.008	FIXCROSS	n/a	n/a	n/a
292.02	1.008	FIXCROSS	n/a	n/a	n/a
299.578	2.008	CUE_6_DOT	n/a	n/a	n/a
305.078	1.008	FIXCROSS	n/a	n/a	n/a
306.095	5.008	6_DOT_DETECTION	LLACB	0	n/a
311.128	1.008	FIXCROSS	n/a	n/a	n/a
312.145	5.008	6_DOT_DETECTION	OAICU	0	n/a
317.178	1.008	FIXCROSS	n/a	n/a	n/a
318.195	5.008	6_DOT_DETECTION	#MIS#	2	n/a
319.336	n/a	RESPONSE	n/a	n/a	1/2
321.84	n/a	RESPONSE	n/a	n/a	2/2
323.228	1.008	FIXCROSS	n/a	n/a	n/a
324.245	5.008	6_DOT_DETECTION	ŁCDCA	0	n/a
329.278	1.008	FIXCROSS	n/a	n/a	n/a
330.295	5.008	6_DOT_DETECTION	Y#LEK	1	n/a
331.6	n/a	RESPONSE	n/a	n/a	1/1
332.576	n/a	RESPONSE	n/a	n/a	2/1
333.8	n/a	RESPONSE	n/a	n/a	3/1
335.328	1.008	FIXCROSS	n/a	n/a	n/a
336.345	5.008	6_DOT_DETECTION	TAK#P	1	n/a
339.936	n/a	RESPONSE	n/a	n/a	1/1
341.378	1.008	FIXCROSS	n/a	n/a	n/a
342.395	5.008	6_DOT_DETECTION	LSC##	2	n/a
345.672	n/a	RESPONSE	n/a	n/a	1/2
346.896	n/a	RESPONSE	n/a	n/a	2/2
