onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.015	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.015	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.032	5.008	LEXICAL_DECISION	PSEUDOWORD	BADO	n/a	n/a
11.6	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
15.065	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
16.082	5.008	LEXICAL_DECISION	WORD	DEBEL	n/a	n/a
20.216	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
23.115	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.132	5.008	LEXICAL_DECISION	WORD	OBAL	n/a	n/a
28.28	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
31.165	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.182	5.008	LEXICAL_DECISION	PSEUDOWORD	LAKO	n/a	n/a
37.0	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
39.215	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.232	5.008	LEXICAL_DECISION	WORD	OBCA	n/a	n/a
45.816	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
49.274	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.274	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.29	5.008	6_DOT_DETECTION	NO_6-DOT	PKUŁS	n/a	n/a
59.0	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.324	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.34	5.008	6_DOT_DETECTION	6-DOT	ETS##	n/a	n/a
66.32	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
70.374	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.39	5.008	6_DOT_DETECTION	6-DOT	#ALK#	n/a	n/a
74.656	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.424	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.44	5.008	6_DOT_DETECTION	NO_6-DOT	TSDRO	n/a	n/a
82.456	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
86.473	1.009	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
87.49	5.008	6_DOT_DETECTION	6-DOT	O#L#	n/a	n/a
89.976	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
95.532	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
100.532	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
101.549	5.008	LEXICAL_DECISION	WORD	BOLEC	n/a	n/a
106.776	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
108.582	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
109.599	5.008	LEXICAL_DECISION	PSEUDOWORD	DBAL	n/a	n/a
115.16	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
116.632	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
117.649	5.008	LEXICAL_DECISION	PSEUDOWORD	ABDEK	n/a	n/a
123.88	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
124.682	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
125.699	5.008	LEXICAL_DECISION	WORD	OCALA	n/a	n/a
131.36	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
132.732	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
133.749	5.008	LEXICAL_DECISION	PSEUDOWORD	BEBO	n/a	n/a
139.16	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
142.291	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
146.791	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
147.807	5.008	6_DOT_DETECTION	6-DOT	D#PK#	n/a	n/a
151.256	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
154.841	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
155.858	5.008	6_DOT_DETECTION	NO_6-DOT	MKRLA	n/a	n/a
159.536	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	FALSE_ALARM
162.891	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
163.908	5.008	6_DOT_DETECTION	NO_6-DOT	MBIY	n/a	n/a
166.816	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
170.941	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
171.958	5.008	6_DOT_DETECTION	6-DOT	K##L	n/a	n/a
174.696	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
178.991	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
180.008	5.008	6_DOT_DETECTION	NO_6-DOT	DLEC	n/a	n/a
